agent,agent_preference,num_connections,agent_connections,influence_status
1,why in the world do you come into my business and immediately remove pull down your face mask why we are still in the middle of a pandemic,12,"[7, 2, 17, 37, 50, 26, 28, 30, 11, 16, 38, 33]",False
2,the mask should be over ur nose,10,"[6, 13, 24, 45, 15, 33, 7, 34, 31, 1]",False
3,can you clarify the mask rules and requirements for hoboken parks and playgrounds,8,"[7, 43, 30, 14, 13, 35, 10, 50]",False
4,my favorite thing to do when i see people not wearing a mask is cough as hard as i can right in front of them because the fear in their eyes is always so rewarding,2,"[17, 23]",False
5,i like the part when he got covid but still had events with people and how he won t enforce a statewide mask mandate oh and the part where he cut education funding wow so great,8,"[48, 8, 49, 10, 27, 39, 13, 21]",False
6,this month i personally know people that have gotten covid one of them past away this week please wear a mask,9,"[39, 34, 9, 50, 22, 43, 7, 44, 2]",False
7,don t go to a party with a house full of ppl not wasting mask during a pandemic,14,"[21, 3, 16, 28, 24, 22, 49, 47, 20, 26, 42, 38, 9, 12]",False
8,continuing to mask up amp distance reduces the transmission of the virus amp if you do get it the virus won t leave you your immune system will handle it vaccines also reduce pressure on overwhelmed healthcare systems vaccines mean more milder cases if the vaxxed do get it,11,"[37, 48, 23, 4, 10, 5, 28, 42, 39, 36, 15]",False
9,hispanics people are not follow the rules by wearing a face mask and social distance during sprinkler water hydran on the street,3,"[16, 22, 43]",False
10,wholeheartedly agree in the last weeks i have had a friend lose his mom to covid and other friend hospitalize with it yesterday i have quit talking to family who insist they don t believe superspreader events happen in churches and people have a right to not wear a mask,8,"[42, 35, 43, 32, 14, 8, 38, 7]",False
11,truth is there s a lot of differing opinions and plenty of studies that say they do help the real problem is that most of the people who are anti mask are just doing it to be jackasses instead of trying to be considerate,11,"[1, 46, 22, 26, 20, 32, 38, 45, 15, 33, 40]",False
12,hi everyone plz just wear a mask i don t wanna be unemployed again,8,"[32, 42, 45, 17, 4, 40, 47, 31]",False
13,"Wearing masks does not help in stopping the virus, it's useless and I hate it.",15,"[33, 30, 48, 4, 5, 35, 2, 11, 20, 9, 49, 18, 22, 3, 37]",True
14,some of these people s face masks be looking like they stink so bad using the same mask for the past days,7,"[26, 38, 12, 4, 36, 30, 23]",False
15,as someone who was there this weekend who lives in a conservative county in california the residents of texas where kind respectful and upheld mask ordinance better than mins of being back in california please let s not turn our backs on people who need help,8,"[12, 23, 7, 10, 2, 44, 43, 3]",False
16,passes are solddd outtt but you can still pay at the door mask required,9,"[13, 17, 2, 27, 45, 15, 40, 7, 9]",False
17,thanks ctl stay safe friends and wear mask if need to go out,12,"[8, 30, 11, 5, 3, 2, 27, 7, 38, 13, 33, 29]",False
18,if hes going to be stupid enough not to wear a mask then he deserves what he gets hopefully he doesn t infect anyone else,10,"[3, 34, 23, 14, 7, 6, 9, 2, 41, 45]",False
19,i stay home other than the ride to chemo amp when we stop for gas i sit in the car cussing all the non mask wearers do they not care who they may have already killed or may kill i m fighting for my life with st breast cancer don t kill me with covid i want the vaccine,6,"[9, 2, 41, 47, 37, 48]",False
20,mask protect other people he only cares about himself,2,"[45, 24]",False
21,please help by following the order so we can remain open and safe for everyone whether you agree with the mask or not we need to follow the order and please be kind to the staff if they remind you they are just trying to do their job thank you all for your understanding,9,"[27, 33, 28, 26, 32, 12, 4, 29, 43]",False
22,those who want to protect themselves from getting sick have every right to masks keep you more safe than no mask in tight settings everyone has the right to do whatever they want now at their discretion,4,"[47, 44, 16, 24]",False
23,i was late but i gotta hand it to he s got me wearing my mask everywhere and my area is spiking hard right now just signed up to get me and the wife a drive up test come saturday,9,"[1, 40, 31, 25, 12, 38, 11, 48, 41]",False
24,i did this with one lone mask less man in a ballot recount center,8,"[40, 22, 46, 20, 28, 21, 33, 6]",False
25,i was downtown dallas yesterday and i only saw one person with a mask it s just a crying shame,11,"[38, 15, 45, 31, 33, 36, 18, 35, 44, 49, 48]",False
26,two tri county health dept board members from douglas county voted against the mask public health order and one did not vote due to affiliation to a school,7,"[30, 21, 10, 45, 7, 42, 31]",False
27,even with a mask on coaching baseball practice this morning on a beautiful almost fall day was incredibly refreshing,5,"[49, 37, 7, 9, 2]",False
28,if you vote biden you will be singing with a mask on because he will make masks mandatory for life a muffled sebastian bach i wouldn t pay to see you now and certainly not pay to see you with a mask on trump,5,"[36, 31, 8, 5, 42]",False
29,this guy is garbage and utah needs to get rid of him gitmo would be a good place for him gop sen mitt romney votes with democrats to keep masks mandate for toddlers,13,"[13, 31, 39, 8, 25, 6, 24, 42, 23, 11, 49, 2, 28]",False
30,before i got covid i always wore my mask would have it on in the house and car by accident bc i would forget about it after getting sick tho it s been harder to breathe with it on and my face just gets so hot and uncomfortable,11,"[20, 1, 46, 23, 13, 41, 12, 10, 44, 34, 15]",False
31,how does the mask make his breath come out of the back of his head,12,"[17, 38, 47, 13, 43, 46, 18, 12, 28, 50, 42, 26]",False
32,get the body i want or break out on my face from having to wear a mask at the gym,8,"[42, 5, 16, 10, 19, 23, 7, 25]",False
33,according to my student yesterday the china virus is a hoax and mask mandates are a way for the government to control all them lib tards sometimes all this is too much,1,[45],False
34,i m not against vacks mandates cuz i don t think i ll catch the cough i already had it i m against them cuz they ruin the economy get people fired and people should be able to choose to wear a mask or get the jab if they want not by force,13,"[45, 19, 28, 15, 1, 11, 29, 33, 20, 39, 31, 37, 47]",False
35,i wear my mask when i m in public lawmaker who isn t wearing his mask in public says,2,"[38, 28]",False
36,wait a damn min we gotta wear mask while working out at the gym,10,"[15, 31, 46, 7, 27, 29, 25, 9, 44, 12]",False
37,says the woman that wears the mask to protect herself lmao well dear the gun works the mask doesn t,11,"[4, 15, 16, 3, 30, 38, 2, 34, 25, 31, 13]",False
38,i am not wearing a mask for more months just saying,4,"[24, 49, 22, 3]",False
39,"Wearing masks does not help in stopping the virus, it's useless and I hate it.",15,"[32, 24, 31, 33, 46, 47, 9, 5, 40, 21, 42, 12, 13, 18, 35]",True
40,woman come on guys says you gotta wear a mask to go in there woman if you re not vaccinated woman exactly woman s daughter my momma says she s naturally vaccinated,14,"[15, 28, 2, 26, 35, 30, 37, 12, 17, 24, 39, 20, 6, 11]",False
41,finally the topper on this covid cake when the mask mandate isn t lifted and accessible vaccines are still a few weeks out for most of us,9,"[46, 24, 11, 15, 39, 44, 40, 29, 31]",False
42,why do people keep asking this yes i ve had multiple exposures in tight places no mask long time periods like an hour i never get it,9,"[48, 31, 29, 36, 26, 49, 46, 30, 14]",False
43,breaking indianapolis city county council has voted to ratify new public health orders which include removing the mask mandate for fully vaccinated individuals the health orders now go to the mayor to be signed,10,"[33, 5, 27, 9, 17, 35, 31, 3, 49, 38]",False
44,says the no mask wearing breaker of hers laws to get her ends dyed,1,[18],False
45,"Wearing masks does not help in stopping the virus, it's useless and I hate it.",15,"[15, 16, 5, 33, 23, 29, 10, 27, 32, 44, 50, 1, 42, 25, 39]",True
46,i love coaching however if one official or admin address me about our players not wearing a mask or wearing it properly under a helmet i will resign and not coach until this nonsense stops,9,"[21, 47, 6, 31, 4, 30, 39, 41, 36]",False
47,oh man you should come to georgia it s like people here think wearing a mask gives them covid there s so few,10,"[13, 22, 16, 11, 19, 4, 1, 39, 41, 48]",False
48,question what can be done when i walk into a place to pick up food amp not one employee is wearing a mask i m the only person in the place wearing one trust me i know it s uncomfortable to wear all day i don t love wearing it either but we re doing it to protect each other,3,"[50, 14, 17]",False
49,wearing this mask and it being so hot,12,"[16, 34, 19, 21, 25, 38, 33, 22, 41, 30, 14, 40]",False
50,the phrase mask up was on the front page of the print edition of the inquirer this morning i was suddenly overcome with the urge the yeet the whole paper into the street when i grabbed it from my stoop,4,"[1, 41, 20, 10]",False
51,"Wearing masks does not help in stopping the virus, it's useless and I hate it.",15,"[37, 31, 38, 36, 8, 33, 39, 11, 9, 48, 47, 4, 5, 1, 16]",True
