,sender,receiver,message
0,1,38,extraordinary evidence at treasury committee from jon thompson ceo of hmrc on customs and brexit today
1,26,38,join me on a brief tourwe start in ca where folks need to look here
2,37,38,after reading the post below i feel that my dream may actually become a reality there were plenty of guilty me
3,38,2,i have had visions for over a year of waking up and turning my tv on and seeing arrests being made simultaneousl
4,38,3,i have had visions for over a year of waking up and turning my tv on and seeing arrests being made simultaneousl
5,38,6,i have had visions for over a year of waking up and turning my tv on and seeing arrests being made simultaneousl
6,38,7,i have had visions for over a year of waking up and turning my tv on and seeing arrests being made simultaneousl
7,38,9,i have had visions for over a year of waking up and turning my tv on and seeing arrests being made simultaneousl
8,38,12,i have had visions for over a year of waking up and turning my tv on and seeing arrests being made simultaneousl
9,38,13,i have had visions for over a year of waking up and turning my tv on and seeing arrests being made simultaneousl
10,38,24,i have had visions for over a year of waking up and turning my tv on and seeing arrests being made simultaneousl
11,38,29,i have had visions for over a year of waking up and turning my tv on and seeing arrests being made simultaneousl
12,38,32,i have had visions for over a year of waking up and turning my tv on and seeing arrests being made simultaneousl
13,38,35,i have had visions for over a year of waking up and turning my tv on and seeing arrests being made simultaneousl
14,38,40,i have had visions for over a year of waking up and turning my tv on and seeing arrests being made simultaneousl
15,43,38,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
16,1,38,This is interesting information. Are you sure there isn't any other possible conspiracy?
17,26,38,"Wow, a woman in a dream with a gun is going to get more expensive. A girl would be a little more aggressive with it. I don't know the other side, but it's a bad idea to have a gun with you on it."
18,37,38,"[h] snooping on the public property is not a legal term of the law, nor does it seem to matter,"
19,38,2,Hey there! How are you? Because I've just read what you said here and I ain't wrong about the law...
20,38,3,Hey there! How are you? Because I've just read what you said here and I ain't wrong about the law...
21,38,6,Hey there! How are you? Because I've just read what you said here and I ain't wrong about the law...
22,38,7,Hey there! How are you? Because I've just read what you said here and I ain't wrong about the law...
23,38,9,Hey there! How are you? Because I've just read what you said here and I ain't wrong about the law...
24,38,12,Hey there! How are you? Because I've just read what you said here and I ain't wrong about the law...
25,38,13,Hey there! How are you? Because I've just read what you said here and I ain't wrong about the law...
26,38,24,Hey there! How are you? Because I've just read what you said here and I ain't wrong about the law...
27,38,29,Hey there! How are you? Because I've just read what you said here and I ain't wrong about the law...
28,38,32,Hey there! How are you? Because I've just read what you said here and I ain't wrong about the law...
29,38,35,Hey there! How are you? Because I've just read what you said here and I ain't wrong about the law...
30,38,40,Hey there! How are you? Because I've just read what you said here and I ain't wrong about the law...
31,43,38,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
32,1,38,i am not sure what you mean by this. i mean why are you doing this?
33,26,38,Are you sure there isn't any other possible conspiracy?
34,37,38,Hey! I'm doing well! How are you? Because I've just read what you said here and I ain't wrong about the law...
35,38,2,"So, if a congressional committee from Jon Thompson is interested in hearing that the investigation and reviews are getting harder to keep track right now, and then a congressional committee from Jon Thompson gets in a tough position? That would be pretty outrageous."
36,38,3,"So, if a congressional committee from Jon Thompson is interested in hearing that the investigation and reviews are getting harder to keep track right now, and then a congressional committee from Jon Thompson gets in a tough position? That would be pretty outrageous."
37,38,6,"So, if a congressional committee from Jon Thompson is interested in hearing that the investigation and reviews are getting harder to keep track right now, and then a congressional committee from Jon Thompson gets in a tough position? That would be pretty outrageous."
38,38,7,"So, if a congressional committee from Jon Thompson is interested in hearing that the investigation and reviews are getting harder to keep track right now, and then a congressional committee from Jon Thompson gets in a tough position? That would be pretty outrageous."
39,38,9,"So, if a congressional committee from Jon Thompson is interested in hearing that the investigation and reviews are getting harder to keep track right now, and then a congressional committee from Jon Thompson gets in a tough position? That would be pretty outrageous."
40,38,12,"So, if a congressional committee from Jon Thompson is interested in hearing that the investigation and reviews are getting harder to keep track right now, and then a congressional committee from Jon Thompson gets in a tough position? That would be pretty outrageous."
41,38,13,"So, if a congressional committee from Jon Thompson is interested in hearing that the investigation and reviews are getting harder to keep track right now, and then a congressional committee from Jon Thompson gets in a tough position? That would be pretty outrageous."
42,38,24,"So, if a congressional committee from Jon Thompson is interested in hearing that the investigation and reviews are getting harder to keep track right now, and then a congressional committee from Jon Thompson gets in a tough position? That would be pretty outrageous."
43,38,29,"So, if a congressional committee from Jon Thompson is interested in hearing that the investigation and reviews are getting harder to keep track right now, and then a congressional committee from Jon Thompson gets in a tough position? That would be pretty outrageous."
44,38,32,"So, if a congressional committee from Jon Thompson is interested in hearing that the investigation and reviews are getting harder to keep track right now, and then a congressional committee from Jon Thompson gets in a tough position? That would be pretty outrageous."
45,38,35,"So, if a congressional committee from Jon Thompson is interested in hearing that the investigation and reviews are getting harder to keep track right now, and then a congressional committee from Jon Thompson gets in a tough position? That would be pretty outrageous."
46,38,40,"So, if a congressional committee from Jon Thompson is interested in hearing that the investigation and reviews are getting harder to keep track right now, and then a congressional committee from Jon Thompson gets in a tough position? That would be pretty outrageous."
47,43,38,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
48,1,38,"That's an interesting fact that has to be included in the federal probe. If he had told you that, he probably knew what was going on."
49,26,38,"'My visions may actually become a reality there were plenty of guilty me i have had visions for over a year of waking up and turning my tv on and seeing arrests being made simultaneousl that gun on their nightstand began to get louder and louder some may have actually picked it up only to put it Wearing masks does not help in stopping the virus, it's useless and I hate it."
50,37,38,"So many federal investigations and reviews, and it is the most controversial thing to hear today from a congressional committee from Jon Thompson."
51,38,2,"There is a federal investigation and review report about the police and what it's being investigated for, is there a specific date?"
52,38,3,"There is a federal investigation and review report about the police and what it's being investigated for, is there a specific date?"
53,38,6,"There is a federal investigation and review report about the police and what it's being investigated for, is there a specific date?"
54,38,7,"There is a federal investigation and review report about the police and what it's being investigated for, is there a specific date?"
55,38,9,"There is a federal investigation and review report about the police and what it's being investigated for, is there a specific date?"
56,38,12,"There is a federal investigation and review report about the police and what it's being investigated for, is there a specific date?"
57,38,13,"There is a federal investigation and review report about the police and what it's being investigated for, is there a specific date?"
58,38,24,"There is a federal investigation and review report about the police and what it's being investigated for, is there a specific date?"
59,38,29,"There is a federal investigation and review report about the police and what it's being investigated for, is there a specific date?"
60,38,32,"There is a federal investigation and review report about the police and what it's being investigated for, is there a specific date?"
61,38,35,"There is a federal investigation and review report about the police and what it's being investigated for, is there a specific date?"
