,0,1
0,5,"['mr thompson said he did not expect the eu to reciprocate over the customs partnership what that means is uk coll', 'So I had to look at this a few times.', 'This sucks, OP.', ""I'm going to sneeze a little at the word scam. It is going to come across as a joke, but I don't think it's a serious one."", 'Are the US and Russia in the same place?', 'CANNOTANSWER CANNOTANSWER']"
1,17,"['the idea mueller would dump papadopoulos as a witness just because his sentencingwhich will have conditions att', ""It isn't so much about money but the government's ability to do this. It's not a scam at all."", ""OP... I don't believe that the president has any legal rights to a slacker. He could have been arrested for his role in the fbi raid, and has said that his job is primarily to protect the security of the US military and its national security. He also believes that there is a need to do a restraining order on all persons who have a warrant to use it."", 'What does this guy have to do with the FBI and his company?', ""The President has said he will post some more of his own stuff when it becomes available, and that he isn't going to resurrect himself for this."", '> CANNOTANSWER CANNOTANSWER CANNOTANSWER CANNOTANSWER']"
2,31,"['ny laws also require specifics concerning all government grantswhy are there still no amended disclosures from', 'oh my gosh. That sucks :', 'I heard an interview with Mr. Bush in November that said that he wished that a few people could join us on this topic and we would look into what the EU was doing with these documents in the past', ""The h issue isn't really relevant to the debates about this."", ""It is a joke, but I'm going to sneeze a little at the word scam. It is going to come across as a joke, but I don't think it's a serious one."", ""No, it isn't.""]"
3,42,"['thread kenneys take on safe injection sites is horribly misguided even in a vacuum as  points out but', 'CANNOTANSWER OP: OP does not need to wait for the plethora of things going on in your country, as you stated.', 'Do you think this is a scam?', 'CANNOTANSWER?', 'CANNOTANSWER OP', ""I am unable to explain the differences in his sarcasm. He hasn't made the distinction because he can't speak the language. He does, however, think it's important for the people on the panel to understand that he would be interested in the issues that are a concern, especially on r/ChemicalCity and that he doesn't want to be involved in a political conspiracy with the GOP.""]"
4,44,"['whether it be healthcare education infrastructure the environment or harm reduction strategies for the opioid c', 'IANAL, but a lawyer is available to answer questions about the bord.', ""i don't know. i just know that i neeeally want to hear r/ChemicalCity as well."", '> the word ""h"" is often abused, or even compared to ""h"" as in ""h"".', 'the judge can make a condition ofclause in any probation suspended sentence deferred sentenc.', '“The sarcasm is a little silly because this guy voted to get out of the government and not to talk to the government about the possible trip to Israel”']"
5,50,"['foundations with misspellings of chidlren  not saying alibaba florida hospital foundation or moyer foundation', 'i was about to say that i would be ready by slack.', ""I've heard that r/ChemicalCity was the first tv show I had ever seen and now I've seen it at the very least."", 'CANNOTANSWER:', 'CANNOTANSWER CANNOTANSWER', 'CANNOTANSWER CANNOTANSWER CANNOTANSWER CANNOTANSWER CANNOTANSWER']"
6,52,"['thanks to  for this more on alibaba  the worlds th largest online retailer and locates in china', 'i really wish that provided a tv box that was the full android tv but that was vanilla google with the abi', '> the word ""h"" is often abused, or even compared to ""h "" as in ""h"".', 'CANNOTANSWER:', 'CANNOTANSWER CANNOTANSWER CANNOTANSWER', 'If it was a ""legal"" job, he wouldn\'t get to talk about his own position.']"
7,78,"['here are some real ideas to fix the immigration system get rid of the  and  year bars and replace with a f', 'I have the idea of using a full Android TV.', 'I wonder if there was something wrong with the r/ChemicalCity page?', 'CANNOTANSWER:', 'CANNOTANSWER OP', 'This is the case of the ""h"" sub.']"
8,83,"['here are some real ideas to fix the immigration system get rid of the  and  year bars and replace with a f', 'I have the idea of using a full Android TV.', 'I wonder if there was something wrong with the r/ChemicalCity page?', 'CANNOTANSWER:', 'CANNOTANSWER OP', 'This is the case of the ""h"" sub.']"
9,69,"['part  qanon follows up on trumps pit stop in hawaii after his most recent asia tour q implies this was to', 'h is also reviewing whether s pal samantha dravis was col now we fly over to ny where there is a similar site punch both feins using dashes after first numbers here then look carefully amended bylaws filed almost four years late on june in nyclinton family illegall folks sunlight is truly the greatest disinfectant of them all', 'IANAL but in all likelihood the afaik is not a criminal justice system.', 'CANNOTANSWER:', ""I'm on my mobile, and I can't be there."", ""CANNOTANSWER, I have a job, I don't get to work, I'm a student, and I don't work much. I work with a large number of people, and I don't know many. I've spent too much time with a lot of people and have only worked to find one person that could actually work. There are lots of people who can't get a job, but they don't know how to get a job.""]"
