agent,agent_preference,num_connections,agent_connections,influence_status
1,i like the part when he got covid but still had events with people and how he won t enforce a statewide mask mandate oh and the part where he cut education funding wow so great,29,"[97, 35, 46, 100, 50, 91, 66, 11, 13, 85, 24, 94, 34, 8, 74, 20, 43, 17, 40, 77, 89, 81, 67, 41, 79, 36, 38, 48, 26]",False
2,this month i personally know people that have gotten covid one of them past away this week please wear a mask,6,"[6, 93, 15, 92, 13, 47]",False
3,don t go to a party with a house full of ppl not wasting mask during a pandemic,6,"[72, 16, 41, 51, 69, 12]",False
4,continuing to mask up and distance reduces the transmission of the virus and if you do get it the virus won t leave you your immune system will handle it vaccines also reduce pressure on overwhelmed healthcare systems vaccines mean more milder cases if the vaxxed do get it,22,"[70, 98, 78, 58, 39, 18, 24, 97, 29, 82, 96, 65, 42, 52, 22, 100, 32, 36, 67, 84, 64, 9]",False
5,wholeheartedly agree in the last weeks i have had a friend lose his mom to covid and other friend hospitalize with it yesterday i have quit talking to family who insist they don t believe superspreader events happen in churches and people have a right to not wear a mask,24,"[81, 64, 41, 79, 58, 51, 39, 61, 91, 3, 63, 55, 18, 71, 8, 10, 33, 84, 73, 100, 49, 35, 11, 6]",False
6,took my first flight in months for a work trip everyone wore a mask everyone was respectful of other people reminds you not all people suck most but not all,30,"[67, 98, 79, 75, 25, 82, 22, 43, 3, 57, 21, 64, 4, 19, 61, 13, 100, 29, 92, 30, 69, 34, 41, 65, 51, 83, 60, 91, 58, 31]",False
7,as someone who was there this weekend who lives in a conservative county in california the residents of texas where kind respectful and upheld mask ordinance better than mins of being back in california please let s not turn our backs on people who need help,10,"[23, 3, 52, 49, 39, 34, 63, 65, 75, 22]",False
8,thanks ctl stay safe friends and wear mask if need to go out,27,"[93, 2, 73, 40, 37, 6, 16, 96, 64, 74, 28, 100, 56, 18, 17, 97, 50, 13, 42, 86, 85, 79, 15, 65, 99, 25, 19]",False
9,mask protect other people he only cares about himself,18,"[8, 27, 26, 49, 18, 89, 85, 4, 1, 42, 5, 84, 37, 29, 45, 75, 61, 94]",False
10,please help by following the order so we can remain open and safe for everyone whether you agree with the mask or not we need to follow the order and please be kind to the staff if they remind you they are just trying to do their job thank you all for your understanding,2,"[42, 40]",False
11,those who want to protect themselves from getting sick have every right to masks keep you more safe than no mask in tight settings everyone has the right to do whatever they want now at their discretion,30,"[54, 86, 46, 7, 61, 64, 57, 17, 5, 48, 89, 79, 65, 27, 62, 36, 9, 39, 15, 24, 91, 70, 2, 95, 98, 6, 69, 94, 73, 87]",False
12,i was late but i gotta hand it to he s got me wearing my mask everywhere and my area is spiking hard right now just signed up to get me and the wife a drive up test come saturday,9,"[96, 69, 25, 32, 20, 3, 78, 62, 84]",False
13,a special shout out goes to mr londono and ms latorre we loved the teachable moment of mask wearing and addressing covid questions also a very happy birthday to our vebbulldog jamya,5,"[94, 17, 41, 39, 34]",False
14,can we developed a mask or helmet that will protect us from corona and that everyone would have to wear to go outside for a month or that would allow us to open up the economy again,21,"[93, 64, 59, 88, 51, 91, 8, 66, 13, 47, 21, 72, 44, 71, 11, 84, 63, 81, 82, 99, 1]",False
15,i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe,28,"[5, 96, 71, 80, 70, 50, 63, 82, 51, 25, 16, 59, 19, 12, 89, 100, 65, 78, 90, 37, 34, 47, 23, 17, 67, 79, 55, 74]",False
16,please leep your mask on i don t want you to be taken out by a virus that is not gone,26,"[44, 42, 43, 62, 5, 15, 34, 77, 65, 3, 98, 7, 25, 67, 93, 35, 38, 57, 2, 48, 63, 73, 10, 32, 89, 14]",False
17,i don t often have time to shave my face stubble in the morning luckily coronavirus is very accepting of mask culture so actually it s required,3,"[56, 25, 43]",False
18,hey i just saw you are running miles across florida right now curious if you would share what is the route im in orlando and would love to come run with you even if just for a mile i d wear a mask and keep distance,26,"[14, 30, 94, 50, 88, 3, 91, 65, 7, 52, 42, 83, 37, 63, 66, 28, 93, 22, 92, 71, 76, 47, 82, 9, 34, 51]",False
19,open for public play saturdays and sundays pm pm practicing social distancing remember to wear your face mask playpaintball publicplay socialdistancing familytime paintball openforbusiness nvp sports park,26,"[61, 100, 50, 81, 85, 91, 11, 28, 67, 21, 16, 74, 94, 80, 69, 89, 40, 65, 14, 57, 33, 12, 71, 68, 39, 70]",False
20,i m so sorry mark but i don t trust this vaccine i understand your concern for the residents of erie county i obey the mask mandate wash and sterilize my hands when returning home from work and elsewhere,1,[9],False
21,excellent exandle of the importance and reliance of everyone in the community to do their part the people that put themselves at risk everyday so you can have food safely produced and delivered to you to eat it s not hard to wear a mask on a run,18,"[46, 26, 20, 1, 86, 7, 83, 92, 19, 53, 6, 98, 85, 51, 12, 8, 68, 52]",False
22,i flew for the first time since march it was mostly fine but some folks wore their masks as chin slings i have glasses and wore my mask over my nose for hours and they didn t fog up i also had plenty of oxygen over the nose people,21,"[83, 93, 64, 36, 52, 45, 90, 39, 26, 88, 67, 34, 30, 70, 41, 63, 42, 76, 12, 82, 11]",False
23,we keep hearing about how most kids quickly recover from covid pretty hard to recover from this wear a mask and if you can get vaccinated,29,"[28, 5, 16, 57, 69, 58, 15, 48, 89, 14, 31, 4, 34, 18, 8, 86, 56, 52, 92, 21, 76, 45, 62, 82, 10, 96, 66, 80, 81]",False
24,please wear a mask and bend over,10,"[43, 94, 91, 25, 53, 22, 67, 31, 11, 16]",False
25,walking out of the grocery store in florida and i m taking my mask off as i just walk out some old lady walking in looks at me and goes thought this was a free country just laughed at her go get your groceries and be quiet lady,18,"[24, 79, 51, 2, 70, 100, 67, 64, 93, 31, 39, 96, 34, 57, 90, 91, 99, 15]",False
26,i like wearing a mask because i can go out in public with a fat lip in and nobody knows,9,"[95, 33, 85, 81, 1, 8, 38, 54, 76]",False
