sender,receiver,message
22,3,those who want to protect themselves from getting sick have every right to masks keep you more safe than no mask in tight settings everyone has the right to do whatever they want now at their discretion
22,12,those who want to protect themselves from getting sick have every right to masks keep you more safe than no mask in tight settings everyone has the right to do whatever they want now at their discretion
22,13,those who want to protect themselves from getting sick have every right to masks keep you more safe than no mask in tight settings everyone has the right to do whatever they want now at their discretion
29,22,can you clarify the mask rules and requirements for hoboken parks and playgrounds
40,22,some of these people s face masks be looking like they stink so bad using the same mask for the past days
51,22,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
22,3,"If you are sick and you are sick, it is always a good idea to wear masks. But it isn't as effective for everyone else because of the way their skin feels in the skin, so it's not a good idea to go in with people who don't like the fact that they are sick. So if you wear a mask and they don't want to be fucked then you aren't really being sick. You need to be aware that a mask can stop the virus, and if they don't want to be fucked, they"
22,12,"The masks are for those who are wearing hoods and head masks, not the other way around."
22,13,">Can you clarify the mask rules and requirements for hoboken parks and playgrounds some of these people s face masks be looking like they stink so bad using the same mask for the past days Wearing masks does not help in stopping the virus, it's useless and I hate it."
29,22,"If it is your first time in a month, you must be okay with it. A good rule of thumb is to wear your own mask or at least you can't let it be a burden on you. Unless you are going out for a drink or something, you need to follow it to the end."
40,22,I think he s not trying to make you look bad by getting a mask and you looking like you stink so bad you just look bad with the mask
51,22,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
22,3,"Unless it is your first time in a month, you must be okay with it. A good rule of thumb is to wear your own mask or at least you can't let it be a burden on you. Unless you are going out for a drink or something, you need to follow it to the end. I think he s not trying to make you look bad by getting a mask and you looking like you stink so bad you just look bad with the mask Wearing masks does not help in stopping the virus,"
22,12,You want a mask that doesn't make you look bad?
22,13,You're trying to say something really dangerous here. You gotta say it.
29,22,> Why does the mask make people smell bad? Its because they are a dick and don't want to be around the people who have to wear theirs.
40,22,It's pretty clear that he's going to be a snob if he doesn't want to show up to a drive-up test. But he's trying to do so in a way that you think he'll be a snob if you start with this and you can't take it off?
51,22,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
22,3,> Why does the mask make people smell bad? Its because they are a dick and don't want to be around the people who have to wear theirs. Its pretty clear that he's going to be a snob if he doesn't want to show up to a drive-up test. But he's trying to do so in a way that you think he'll be a snob if you start with this and you can't take it off?
22,12,"Are you saying that he's being a snob? Because you're causing him to be a snob? I mean really? I'm not even a snob, so I'm trying to say something really dangerous here."
22,13,I don't care whether you're snobbish or not. It's a very simple and sensible way to do it.
