,0,1
0,2,"['mr thompson said he did not expect the eu to reciprocate over the customs partnership what that means is uk coll', 'So I had to look at this a few times.', 'This sucks, OP.', ""I'm going to sneeze a little at the word scam. It is going to come across as a joke, but I don't think it's a serious one."", 'Are the US and Russia in the same place?', 'CANNOTANSWER CANNOTANSWER']"
1,18,"['mr thompson said he did not expect the eu to reciprocate over the customs partnership what that means is uk coll', 'So I had to look at this a few times.', 'This sucks, OP.', ""I'm going to sneeze a little at the word scam. It is going to come across as a joke, but I don't think it's a serious one."", 'Are the US and Russia in the same place?', 'CANNOTANSWER CANNOTANSWER']"
2,20,"['mr thompson said he did not expect the eu to reciprocate over the customs partnership what that means is uk coll', 'So I had to look at this a few times.', 'This sucks, OP.', ""I'm going to sneeze a little at the word scam. It is going to come across as a joke, but I don't think it's a serious one."", 'Are the US and Russia in the same place?', 'CANNOTANSWER CANNOTANSWER']"
3,23,"['mr thompson said he did not expect the eu to reciprocate over the customs partnership what that means is uk coll', 'So I had to look at this a few times.', 'This sucks, OP.', ""I'm going to sneeze a little at the word scam. It is going to come across as a joke, but I don't think it's a serious one."", 'Are the US and Russia in the same place?', 'CANNOTANSWER CANNOTANSWER']"
4,28,"['mr thompson said he did not expect the eu to reciprocate over the customs partnership what that means is uk coll', 'So I had to look at this a few times.', 'This sucks, OP.', ""I'm going to sneeze a little at the word scam. It is going to come across as a joke, but I don't think it's a serious one."", 'Are the US and Russia in the same place?', 'CANNOTANSWER CANNOTANSWER']"
5,31,"['mr thompson said he did not expect the eu to reciprocate over the customs partnership what that means is uk coll', 'So I had to look at this a few times.', 'This sucks, OP.', ""I'm going to sneeze a little at the word scam. It is going to come across as a joke, but I don't think it's a serious one."", 'Are the US and Russia in the same place?', 'CANNOTANSWER CANNOTANSWER']"
6,37,"['mr thompson said he did not expect the eu to reciprocate over the customs partnership what that means is uk coll', 'after reading the post below i feel that my dream may actually become a reality there were plenty of guilty me', 'So I had to look at this a few times.', 'i am not a judge and i do not agree with this rule', 'This sucks, OP.', ""i like it, because it's what i read here."", ""I'm going to sneeze a little at the word scam. It is going to come across as a joke, but I don't think it's a serious one."", 'What is the difference between r/ChemicalCity and r/ChemicalCity?', 'Are the US and Russia in the same place?', 'The first part of the post is not really an election, but a discussion. It\'s like saying, ""Oh, if we grew up in a country where government employees work outside of business, we wouldn\'t work in government anymore.""', 'CANNOTANSWER CANNOTANSWER', 'How does the judge consider the tyranny of the treasury committee?']"
7,46,"['mr thompson said he did not expect the eu to reciprocate over the customs partnership what that means is uk coll', 'So I had to look at this a few times.', 'This sucks, OP.', ""I'm going to sneeze a little at the word scam. It is going to come across as a joke, but I don't think it's a serious one."", 'Are the US and Russia in the same place?', 'CANNOTANSWER CANNOTANSWER']"
8,59,"['mr thompson said he did not expect the eu to reciprocate over the customs partnership what that means is uk coll', 'So I had to look at this a few times.', 'This sucks, OP.', ""I'm going to sneeze a little at the word scam. It is going to come across as a joke, but I don't think it's a serious one."", 'Are the US and Russia in the same place?', 'CANNOTANSWER CANNOTANSWER']"
9,60,"['mr thompson said he did not expect the eu to reciprocate over the customs partnership what that means is uk coll', 'So I had to look at this a few times.', 'This sucks, OP.', ""I'm going to sneeze a little at the word scam. It is going to come across as a joke, but I don't think it's a serious one."", 'Are the US and Russia in the same place?', 'CANNOTANSWER CANNOTANSWER']"
10,61,"['mr thompson said he did not expect the eu to reciprocate over the customs partnership what that means is uk coll', 'So I had to look at this a few times.', 'This sucks, OP.', ""I'm going to sneeze a little at the word scam. It is going to come across as a joke, but I don't think it's a serious one."", 'Are the US and Russia in the same place?', 'CANNOTANSWER CANNOTANSWER']"
