sender,receiver,message
92,52,"Little blue ones are totally useless.Even the best don't work very well.Exhale smoke while wearing a mask,any mask and you will see the leakage. It's frightening how dumb they think all of is are."
92,64,"Little blue ones are totally useless.Even the best don't work very well.Exhale smoke while wearing a mask,any mask and you will see the leakage. It's frightening how dumb they think all of is are."
92,65,"Little blue ones are totally useless.Even the best don't work very well.Exhale smoke while wearing a mask,any mask and you will see the leakage. It's frightening how dumb they think all of is are."
92,80,"Little blue ones are totally useless.Even the best don't work very well.Exhale smoke while wearing a mask,any mask and you will see the leakage. It's frightening how dumb they think all of is are."
95,92,oh you dont like wearing your mask maroon has been having a hard time breathing since but no one wants to talk about that
92,52,Wearing a mask is part of the measures deployed by the government to aid in stopping the spread of a virus.
92,64,Wearing a mask is part of the measures deployed by the government to aid in stopping the spread of a virus.
92,65,Apparently they use a mask on people like Maroon. They're not smart.
92,80,"Wearing a mask is part of the measures deployed by the government to aid in stopping the spread of a virus.Little blue ones are totally useless.Even the best don't work very well.Exhale smoke while wearing a mask,any mask and you will see the leakage. It's frightening how dumb they think all of is are. Little blue ones are totally useless.Even the best don't work very well. Exhale smoke while wearing a mask,any mask and you will see the leakage. It's frightening how dumb they think all of is"
95,92,"Maroon is wearing a mask because it is a health and safety hazard. Maroon, on the other hand, can have problems breathing with it. Wearing a mask is one of the measures deployed by the government to aid in stopping the spread of a virus."
92,52,"This is one of the things I learned when I was a kid and I never knew this. Apparently there was a'red flag' on the top of my head. It was an ""unfortunately unintentional "" thing to do when I was in school that helped us keep from getting sick. The huff was unintentional because it was a part of us learning. It's the worst thing I learned."
92,64,I had the privilege to hear this remark yesterday. It was funny.
92,65,Apparently they use a mask on people like Maroon. They're not smart. Wearing a mask is part of the measures deployed by the government to aid in stopping the spread of a virus.
92,80,"I know I'm wrong, I always liked the title..."
95,92,It's also a part of the measures deployed by the government to aid in stopping the spread of a virus.
92,52,"This is a little weird. But when I'm not working and I have a mask that I wear to a work I really like to wear, it helps prevent people from getting sick, which is a very common thing to do."
